"";"data";"rating";"vertice";"valor";"indexador"
"294";2021-06-30;"AAA";"9";1,6993;"DI+"
"295";2021-06-30;"AAA";"10";1,7125;"DI+"
"296";2021-06-30;"AAA";"11";1,7234;"DI+"
"297";2021-06-30;"AAA";"12";1,7325;"DI+"
"298";2021-06-30;"AAA";"13";1,7402;"DI+"
"299";2021-06-30;"AAA";"14";1,7468;"DI+"
"300";2021-06-30;"AAA";"15";1,7525;"DI+"
"301";2021-07-31;"AAA";"1";1,0557;"DI+"
"302";2021-07-31;"AAA";"2";1,2116;"DI+"
"303";2021-07-31;"AAA";"3";1,3231;"DI+"
"304";2021-07-31;"AAA";"4";1,4043;"DI+"
"305";2021-07-31;"AAA";"5";1,4648;"DI+"
"306";2021-07-31;"AAA";"6";1,5107;"DI+"
"307";2021-07-31;"AAA";"7";1,5462;"DI+"
"308";2021-07-31;"AAA";"8";1,5742;"DI+"
"309";2021-07-31;"AAA";"9";1,5967;"DI+"
"310";2021-07-31;"AAA";"10";1,6151;"DI+"
"311";2021-07-31;"AAA";"11";1,6303;"DI+"
"312";2021-07-31;"AAA";"12";1,643;"DI+"
"313";2021-07-31;"AAA";"13";1,6539;"DI+"
"314";2021-07-31;"AAA";"14";1,6632;"DI+"
"315";2021-07-31;"AAA";"15";1,6713;"DI+"
"316";2021-08-31;"AAA";"1";1,1096;"DI+"
"317";2021-08-31;"AAA";"2";1,2437;"DI+"
"318";2021-08-31;"AAA";"3";1,3087;"DI+"
"319";2021-08-31;"AAA";"4";1,3445;"DI+"
"320";2021-08-31;"AAA";"5";1,3667;"DI+"
"321";2021-08-31;"AAA";"6";1,3816;"DI+"
"322";2021-08-31;"AAA";"7";1,3922;"DI+"
"323";2021-08-31;"AAA";"8";1,4002;"DI+"
"324";2021-08-31;"AAA";"9";1,4064;"DI+"
"325";2021-08-31;"AAA";"10";1,4114;"DI+"
"326";2021-08-31;"AAA";"11";1,4155;"DI+"
"327";2021-08-31;"AAA";"12";1,4189;"DI+"
"328";2021-08-31;"AAA";"13";1,4217;"DI+"
"329";2021-08-31;"AAA";"14";1,4242;"DI+"
"330";2021-08-31;"AAA";"15";1,4263;"DI+"
"331";2021-09-30;"AAA";"1";1,1093;"DI+"
"332";2021-09-30;"AAA";"2";1,2812;"DI+"
"333";2021-09-30;"AAA";"3";1,3622;"DI+"
"334";2021-09-30;"AAA";"4";1,4063;"DI+"
"335";2021-09-30;"AAA";"5";1,4334;"DI+"
"336";2021-09-30;"AAA";"6";1,4515;"DI+"
"337";2021-09-30;"AAA";"7";1,4645;"DI+"
"338";2021-09-30;"AAA";"8";1,4743;"DI+"
"339";2021-09-30;"AAA";"9";1,4819;"DI+"
"340";2021-09-30;"AAA";"10";1,4879;"DI+"
"341";2021-09-30;"AAA";"11";1,4929;"DI+"
"342";2021-09-30;"AAA";"12";1,497;"DI+"
"343";2021-09-30;"AAA";"13";1,5005;"DI+"
"344";2021-09-30;"AAA";"14";1,5035;"DI+"
"345";2021-09-30;"AAA";"15";1,5061;"DI+"
"346";2021-10-31;"AAA";"1";1,2051;"DI+"
"347";2021-10-31;"AAA";"2";1,3142;"DI+"
"348";2021-10-31;"AAA";"3";1,3582;"DI+"
"349";2021-10-31;"AAA";"4";1,3808;"DI+"
"350";2021-10-31;"AAA";"5";1,3944;"DI+"
"351";2021-10-31;"AAA";"6";1,4035;"DI+"
"352";2021-10-31;"AAA";"7";1,4099;"DI+"
"353";2021-10-31;"AAA";"8";1,4148;"DI+"
"354";2021-10-31;"AAA";"9";1,4186;"DI+"
"355";2021-10-31;"AAA";"10";1,4216;"DI+"
"356";2021-10-31;"AAA";"11";1,4241;"DI+"
"357";2021-10-31;"AAA";"12";1,4261;"DI+"
"358";2021-10-31;"AAA";"13";1,4279;"DI+"
"359";2021-10-31;"AAA";"14";1,4294;"DI+"
"360";2021-10-31;"AAA";"15";1,4307;"DI+"
"361";2021-11-30;"AAA";"1";1,241;"DI+"
"362";2021-11-30;"AAA";"2";1,3661;"DI+"
"363";2021-11-30;"AAA";"3";1,4128;"DI+"
"364";2021-11-30;"AAA";"4";1,4364;"DI+"
"365";2021-11-30;"AAA";"5";1,4505;"DI+"
"366";2021-11-30;"AAA";"6";1,46;"DI+"
"367";2021-11-30;"AAA";"7";1,4667;"DI+"
"368";2021-11-30;"AAA";"8";1,4717;"DI+"
"369";2021-11-30;"AAA";"9";1,4757;"DI+"
"370";2021-11-30;"AAA";"10";1,4788;"DI+"
"371";2021-11-30;"AAA";"11";1,4814;"DI+"
"372";2021-11-30;"AAA";"12";1,4835;"DI+"
"373";2021-11-30;"AAA";"13";1,4854;"DI+"
"374";2021-11-30;"AAA";"14";1,4869;"DI+"
"375";2021-11-30;"AAA";"15";1,4883;"DI+"
"376";2021-12-31;"AAA";"1";1,2051;"DI+"
"377";2021-12-31;"AAA";"2";1,3142;"DI+"
"378";2021-12-31;"AAA";"3";1,3582;"DI+"
"379";2021-12-31;"AAA";"4";1,3808;"DI+"
"380";2021-12-31;"AAA";"5";1,3944;"DI+"
"381";2021-12-31;"AAA";"6";1,4035;"DI+"
"382";2021-12-31;"AAA";"7";1,4099;"DI+"
"383";2021-12-31;"AAA";"8";1,4148;"DI+"
"384";2021-12-31;"AAA";"9";1,4186;"DI+"
